GEO_ID,NAME,TOTALPOPULATION,TOTALLESSTHAN5MINUTES,PERCENT LESS THAN 5
Geography,Geographic Area Name,TOTAL,TOTAL,PERCENTAGE
13291,"Union County, Georgia",8189,202,2.466723654
13293,"Upson County, Georgia",8700,534,6.137931034
13295,"Walker County, Georgia",15219,492,3.232801104
13297,"Walton County, Georgia",25170,1001,3.976956694
13299,"Ware County, Georgia",17666,331,1.87365561
13301,"Warren County, Georgia",1146,35,3.054101222
13303,"Washington County, Georgia",7100,236,3.323943662
13305,"Wayne County, Georgia",10098,195,1.93107546
13307,"Webster County, Georgia",-1,-1,-1
13309,"Wheeler County, Georgia",1516,0,0
13311,"White County, Georgia",8745,714,8.164665523
13313,"Whitfield County, Georgia",56499,1010,1.787642259
13315,"Wilcox County, Georgia",1543,100,6.4808814
13317,"Wilkes County, Georgia",2992,227,7.586898396
13319,"Wilkinson County, Georgia",2917,120,4.113815564
13321,"Worth County, Georgia",4290,176,4.102564103
